Title,Creator,Viewers,Language,User Link,Avatar Link,Thumbnail Link
叉滴娛樂🔥 @krapycoco 5/23 小打一下休息 !上海大師賽 !vpn,虧皮 (krapycoco),2400,中文,https://www.twitch.tv/krapycoco,https://static-cdn.jtvnw.net/jtv_user_pictures/93adc6e7-6f66-40d4-b75a-3c701bd0aef2-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_krapycoco-440x248.jpg
/ᐠ. ̫ .ᐟ\ 0523 今天有新片片 晚點玩個原神 ⸜♡⸝ 抱枕開始預購囉 .ᐟ.ᐟ !YT !LINE !手機殼 !周邊,稻乙緹 (iitifox),348,FPS值夜選手,https://www.twitch.tv/iitifox,https://static-cdn.jtvnw.net/jtv_user_pictures/615efcd0-a69c-44a5-8447-d6c55dc4e56d-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_iitifox-440x248.jpg
"5 stack tryhard con Maza, Ferra, Kadnita y Levi",Mixwell,10100,Heretics,https://www.twitch.tv/mixwell,https://static-cdn.jtvnw.net/jtv_user_pictures/6d3b4513-6824-4912-848c-dc046ee262ad-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_mixwell-440x248.jpg
(REBROADCAST) G2 vs T1 - VCT Masters Shanghai - Group Stage,VALORANT,4100,ChampionsTour,https://www.twitch.tv/valorant,https://static-cdn.jtvnw.net/jtv_user_pictures/c8a06f25-fd5a-4319-b15c-26bbddbfa7d2-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_valorant-440x248.jpg
Radiant Ranked 🔴 #1 Halal Streamer 🔴 TSM @Subroza 🔴,Subroza,3800,valorant,https://www.twitch.tv/subroza,https://static-cdn.jtvnw.net/jtv_user_pictures/3e1a57a9-fa23-4ad4-9c1b-66c8b1cc58ab-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_subroza-440x248.jpg
RADIANT RANKED PMA | sub = no ads | !prime !partnerplus,Dasnerth,1100,winning,https://www.twitch.tv/dasnerth,https://static-cdn.jtvnw.net/jtv_user_pictures/d351b078-2d56-4cb9-8323-88abe9d51634-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_dasnerth-440x248.jpg
跟卡哥學一下朱莉 晚點研究凱爾新連段,henrychiao,15,英文,https://www.twitch.tv/henrychiao,https://static-cdn.jtvnw.net/jtv_user_pictures/0eed2aa8-2e53-44bd-8759-3a96855087df-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_henrychiao-440x248.jpg
俺もVALORANTするぞ！,ボドカさん (vodkavdk),4000,日本語,https://www.twitch.tv/vodkavdk,https://static-cdn.jtvnw.net/jtv_user_pictures/d7b3f8e8-b6e0-4c72-ad9b-f0bab5cdc21a-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_vodkavdk-440x248.jpg
3 GAMES TO RADIANT | CC: Vadeal #ad | !map !turnier !jersey,Vadeal,1700,FNCSCHAMP,https://www.twitch.tv/vadeal,https://static-cdn.jtvnw.net/jtv_user_pictures/79bb639b-f0b3-436f-8514-b1c7bc50dddd-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_vadeal-440x248.jpg
EG SHANKS | WORLD CHAMPION HAS RETURNED TO DOMINATE RANKED,shanks_ttv,1700,English,https://www.twitch.tv/shanks_ttv,https://static-cdn.jtvnw.net/jtv_user_pictures/b7aa2d4e-add0-4b2c-b175-c3e54984dc64-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_shanks_ttv-440x248.jpg
【牙婷】5/23 萬事起頭難 中間難 結尾更難 !簽到 !AI,牙婷シ (yating1222),27,女生,https://www.twitch.tv/yating1222,https://static-cdn.jtvnw.net/jtv_user_pictures/bcb2ec89-ac3e-49da-9811-057064af9727-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_yating1222-440x248.jpg
ONLY WINNERS HERE,arii,584,English,https://www.twitch.tv/arii,https://static-cdn.jtvnw.net/jtv_user_pictures/2cd2e570-d168-4c0e-85f5-42a2c3fa6a76-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_arii-440x248.jpg
